player_id,player_name,total_minutes,games
203833,Chelsea Gray,1797.0,56
1629498,Jackie Young,1755.0,56
1628932,A'ja Wilson,1679.0,54
204319,Jewell Loyd,1595.0,56
1630389,Dana Evans,1018.0,56
1631019,NaLyssa Smith,890.0,40
1642801,Aaliyah Nye,689.0,56
1631006,Kierstan Bell,551.0,55
204329,Kiah Stokes,527.0,55
1629484,Megan Gustafson,328.0,50
1627676,Tiffany Mitchell,212.0,16
1642295,Elizabeth Kitley,99.0,16
204323,Cheyenne Parker-Tyus,52.0,23
1630115,Joyner Holmes,30.0,12
204325,Crystal Bradford,24.0,7
