zone,x_center,y_center,team,frequency,fg_pct,freq_vs_league
Rim,0,5,League Avg,0.27066153846153845,0.6305923076923077,0.0
Rim,0,5,Las Vegas Aces,0.1503,0.6264,-0.12036153846153846
Short MR,0,12,League Avg,0.2625923076923077,0.40272307692307685,0.0
Short MR,0,12,Las Vegas Aces,0.3442,0.4551,0.08160769230769233
Long MR,0,18,League Avg,0.10703846153846155,0.37991538461538465,0.0
Long MR,0,18,Las Vegas Aces,0.12300000000000001,0.43439999999999995,0.015961538461538458
Corner 3 (L),-22,5,League Avg,0.03944999999999999,0.3656692307692308,0.0
Corner 3 (L),-22,5,Las Vegas Aces,0.0509,0.35969999999999996,0.011450000000000009
Corner 3 (R),22,5,League Avg,0.03944999999999999,0.3656692307692308,0.0
Corner 3 (R),22,5,Las Vegas Aces,0.0509,0.35969999999999996,0.011450000000000009
Above Break 3,0,24,League Avg,0.28082307692307695,0.3290461538461539,0.0
Above Break 3,0,24,Las Vegas Aces,0.2807,0.34850000000000003,-0.00012307692307694795
