Team,GP,Pts,eFG%,TS%,Shot Quality,Rim Freq,SMR Freq,LMR Freq,C3 Freq,AB3 Freq,Rim or 3 Freq,Rim FG%,SMR FG%,LMR FG%,C3 FG%,AB3 FG%,midrange_freq,total_3pt_freq,ppg,is_aces,team_full,shot_profile
ATL,44,3712,0.5139,0.5534,0.52,0.31329999999999997,0.21280000000000002,0.0556,0.0754,0.3428,0.7315999999999999,0.6139,0.4268,0.34340000000000004,0.3644,0.33140000000000003,0.2684,0.4182,84.36363636363636,False,Atlanta Dream,Modern (Rim+3)
MIN,44,3787,0.5422,0.5713,0.5,0.2636,0.2079,0.1562,0.0754,0.297,0.636,0.6835,0.4238,0.4017,0.4425,0.3618,0.3641,0.37239999999999995,86.06818181818181,False,Minnesota Lynx,Balanced
WAS,44,3394,0.48340000000000005,0.5292,0.49,0.312,0.2917,0.12710000000000002,0.0653,0.2039,0.5811999999999999,0.6442,0.3574,0.3567,0.32789999999999997,0.3292,0.41880000000000006,0.2692,77.13636363636364,False,Washington Mystics,Balanced
CON,44,3337,0.4576,0.5024000000000001,0.49,0.264,0.266,0.1664,0.060700000000000004,0.243,0.5676,0.6085,0.349,0.3992,0.3575,0.2887,0.4324,0.30369999999999997,75.8409090909091,False,Connecticut Sun,Midrange-Heavy
SEA,44,3614,0.5046,0.5377000000000001,0.49,0.26280000000000003,0.29469999999999996,0.1235,0.07,0.249,0.5818,0.6688,0.40020000000000006,0.38299999999999995,0.3709,0.33380000000000004,0.41819999999999996,0.319,82.13636363636364,False,Seattle Storm,Balanced
LAS,44,3769,0.5213,0.5618,0.52,0.3496,0.2297,0.039,0.09380000000000001,0.2879,0.7314,0.6696,0.3555,0.32170000000000004,0.3502,0.3329,0.2687,0.3817,85.6590909090909,False,Los Angeles Sparks,Modern (Rim+3)
IND,44,3734,0.5165,0.5516,0.51,0.3319,0.22210000000000002,0.0969,0.0767,0.2724,0.6809999999999999,0.6145,0.4315,0.3686,0.39659999999999995,0.33130000000000004,0.319,0.34909999999999997,84.86363636363636,False,Indiana Fever,Modern (Rim+3)
LVA,44,3680,0.5059,0.552,0.47,0.1503,0.3442,0.12300000000000001,0.1018,0.2807,0.5328,0.6264,0.4551,0.43439999999999995,0.35969999999999996,0.34850000000000003,0.4672,0.3825,83.63636363636364,True,Las Vegas Aces,Midrange-Heavy
DAL,44,3594,0.4685,0.5136,0.48,0.2523,0.307,0.1384,0.0535,0.2488,0.5546,0.6015,0.41350000000000003,0.3747,0.3393,0.2967,0.4454,0.3023,81.68181818181819,False,Dallas Wings,Midrange-Heavy
PHX,44,3643,0.502,0.5409,0.5,0.25379999999999997,0.25120000000000003,0.09179999999999999,0.0931,0.31010000000000004,0.6570999999999999,0.611,0.4208,0.38630000000000003,0.3986,0.3226,0.343,0.40320000000000006,82.79545454545455,False,Phoenix Mercury,Modern (Rim+3)
GSV,44,3420,0.4815,0.5292,0.49,0.19219999999999998,0.2661,0.0834,0.11199999999999999,0.3464,0.6505,0.6152000000000001,0.4194,0.3389,0.3178,0.3273,0.34950000000000003,0.4584,77.72727272727273,False,Golden State Valkyries,Modern (Rim+3)
NYL,44,3713,0.5261,0.5720000000000001,0.5,0.2466,0.2626,0.0803,0.0929,0.3176,0.657,0.6883,0.38939999999999997,0.4416,0.37829999999999997,0.3483,0.3429,0.4105,84.38636363636364,False,New York Liberty,Modern (Rim+3)
CHI,44,3335,0.4755,0.5135000000000001,0.5,0.3262,0.2577,0.1099,0.055099999999999996,0.2511,0.6324000000000001,0.5523,0.39299999999999996,0.3887,0.35,0.3251,0.3676,0.30619999999999997,75.79545454545455,False,Chicago Sky,Balanced
